1,Москва,2024-10-12T10:00:00,2024-10-12T14:00:00,5000,10
2,Санкт-Петербург,2024-10-13T12:30:00,2024-10-13T16:30:00,4500,15
3,Новосибирск,2024-10-14T14:45:00,2024-10-14T20:15:00,7000,5
4,Екатеринбург,2024-10-15T16:00:00, 2024-10-15T18:00:00,4000,20
5,Казань,2024-10-16T18:15:00,2024-10-16T20:45:00,3500,0
6,Краснодар,2024-10-17T09:00:00,2024-10-17T12:00:00,6000,12
7,Сочи,2024-10-18T11:30:00,2024-10-18T15:30:00,4800,7
8,Владивосток,2024-10-19T13:45:00,2024-10-19T22:45:00,10000,25
9,Калининград,2024-10-20T15:00:00,2024-10-20T18:00:00,5500,10
10,Самара,2024-10-21T17:15:00,2024-10-21T19:45:00,4300,5
